station_id,:version,:created_at,north_direction_label,line,daytime_routes,complex_id,division,ada_southbound,stop_id,structure,ada_notes,stop_name,longitude,ada_northbound,:updated_at,ada,:id,south_direction_label,cbd,borough,latitude
408,rv-jv3d_4mr4-bm4c,2024-08-22T18:09:47.728Z,Uptown,Lexington Av,6,619,IRT,1,637,Subway,,Bleecker St,-73.994659,1,2024-08-22T18:09:53.410Z,1,row-hcaa_6gd7-hry8,Downtown,TRUE,M,40.725915
505,rv-k3xn-s9zx-4jyc,2024-08-22T18:09:47.728Z,Ferry,Staten Island,SIR,505,SIR,0,S27,Open Cut,,Grasmere,-74.084087,0,2024-08-22T18:09:53.410Z,0,row-myq6_k6jd-apqt,South Shore,FALSE,SI,40.603117
467,rv-5vud~6bnz_qzpp,2024-08-22T18:09:47.728Z,Queens,Flushing,7,611,IRT,1,725,Subway,,Times Sq-42 St,-73.987691,1,2024-08-22T18:09:53.410Z,1,row-4x4j-7jkt.sqfw,Hudson Yards,TRUE,M,40.755477
507,rv-s989~p66j~9ppd,2024-08-22T18:09:47.728Z,Ferry,Staten Island,SIR,507,SIR,1,S25,Embankment,,Dongan Hills,-74.09609,1,2024-08-22T18:09:53.410Z,1,row-qwzh_654r_9aid,South Shore,FALSE,SI,40.588849
475,rv-fs5i~qbkp-44qz,2024-08-22T18:09:47.728Z,Last Stop,Second Av,Q,475,IND,1,Q05,Subway,,96 St,-73.947152,1,2024-08-22T18:09:53.410Z,1,row-mapp.89c6.9799,Downtown,FALSE,M,40.784318
501,rv-bt4h-s977_5p3m,2024-08-22T18:09:47.728Z,Last Stop,Staten Island,SIR,501,SIR,1,S31,Open Cut,,St George,-74.073643,1,2024-08-22T18:09:53.410Z,1,row-t6js-wmtu.eb6b,South Shore,FALSE,SI,40.643748
518,rv-vg55-pqce-kkax,2024-08-22T18:09:47.728Z,Ferry,Staten Island,SIR,518,SIR,0,S14,Embankment,,Pleasant Plains,-74.217847,0,2024-08-22T18:09:53.410Z,0,row-aua5-xt27-6mfd,South Shore,FALSE,SI,40.52241
511,rv-7zgj_z7m5-n292,2024-08-22T18:09:47.728Z,Ferry,Staten Island,SIR,511,SIR,0,S21,Open Cut,,Oakwood Heights,-74.12632,0,2024-08-22T18:09:53.410Z,0,row-mu2z~4p3v~zsei,South Shore,FALSE,SI,40.56511
506,rv-csr7_dw34-z4zk,2024-08-22T18:09:47.728Z,Ferry,Staten Island,SIR,506,SIR,0,S26,Embankment,,Old Town,-74.087368,0,2024-08-22T18:09:53.410Z,0,row-99hk-vd5i_4zq3,South Shore,FALSE,SI,40.596612
510,rv-dgqy_4hye~mss7,2024-08-22T18:09:47.728Z,Ferry,Staten Island,SIR,510,SIR,1,S22,Open Cut,,New Dorp,-74.11721,1,2024-08-22T18:09:53.410Z,1,row-4b29~5mf4~ggtm,South Shore,FALSE,SI,40.57348
